date(YYYY-MM-DD), time(UTC), lat(deg), lon(deg), scene_id, cldc, tau_liq, tau_ice, tile number, grid_latt and grid_lont index 1, grid_latt and grid_lont index 2,INVALID
2016-08-01, 06:00:00, -50.93, 283.45, 5, 0.00, 0.00, 0.00, 6, 2097, 327,1
2016-08-01, 06:00:00, 32.86, 33.39, 5, 0.00, 0.00, 0.00, 1, 2937, 3007,1
2016-08-01, 06:00:00, -27.51, 13.59, 5, 0.00, 0.00, 0.00, 1, 583, 2284,1
2016-08-01, 06:00:00, -38.07, 131.84, 5, 0.00, 0.06, 0.00, 4, 271, 3068,1
2016-08-01, 06:00:00, 60.29, 186.43, 5, 0.00, 0.00, 0.00, 3, 1820, 2458,1
2016-08-01, 06:00:00, 43.08, 36.13, 5, 0.00, 0.00, 0.00, 3, 291, 332,1
2016-08-01, 06:00:00, -24.04, 40.02, 5, 0.00, 0.05, 0.00, 2, 562, 201,1
2016-08-01, 06:00:00, 37.84, 330.22, 5, 0.00, 0.00, 0.00, 1, 2855, 915,1
2016-08-01, 06:00:00, -28.47, 269.61, 5, 0.00, 0.00, 0.00, 5, 1834, 2462,1
2016-08-01, 06:00:00, 29.12, 313.14, 5, 0.00, 0.18, 0.00, 1, 2678, 320,1
2016-08-01, 06:00:00, -77.30, 334.01, 6, 0.00, 0.00, 0.01, 6, 1916, 1427,4
2016-08-01, 06:00:00, -84.06, 148.43, 6, 0.00, 0.00, 0.01, 6, 1366, 1604,4
2016-08-01, 06:00:00, 74.39, 332.81, 6, 0.00, 0.00, 0.00, 3, 1682, 1071,4
2016-08-01, 06:00:00, 77.00, 330.26, 6, 0.00, 0.00, 0.00, 3, 1674, 1156,4
2016-08-01, 06:00:00, 68.47, 324.48, 6, 0.00, 0.00, 0.00, 3, 1835, 921,4
2016-08-01, 06:00:00, -72.31, 169.13, 6, 0.00, 0.00, 0.00, 6, 983, 1545,4
2016-08-01, 06:00:00, -72.31, 148.87, 6, 0.00, 0.00, 0.00, 6, 1019, 1739,4
2016-08-01, 06:00:00, -85.83, 242.14, 6, 0.00, 0.00, 0.00, 6, 1497, 1414,4
2016-08-01, 06:00:00, -76.67, 339.59, 6, 0.00, 0.00, 0.01, 6, 1944, 1461,4
2016-08-01, 06:00:00, 75.25, 334.31, 6, 0.00, 0.00, 0.00, 3, 1662, 1094,4
2016-08-01, 06:00:00, -29.96, 152.41, 11, 0.00, 0.00, 0.00, 4, 986, 2545,2
2016-08-01, 06:00:00, 19.50, 102.24, 11, 0.00, 0.00, 0.00, 2, 2196, 2239,2
2016-08-01, 06:00:00, -16.66, 296.75, 11, 0.00, 0.00, 0.00, 5, 2749, 2181,2
2016-08-01, 06:00:00, -7.89, 284.43, 11, 0.00, 0.00, 0.00, 5, 2312, 1804,2
2016-08-01, 06:00:00, -7.24, 295.30, 11, 0.00, 0.00, 0.00, 5, 2695, 1810,2
2016-08-01, 06:00:00, -17.53, 145.96, 11, 0.00, 0.00, 0.00, 4, 774, 2135,2
2016-08-01, 06:00:00, 49.74, 295.88, 11, 0.00, 0.00, 0.00, 3, 2664, 694,2
2016-08-01, 06:00:00, 37.32, 30.97, 11, 0.00, 0.00, 0.00, 3, 173, 12,2
2016-08-01, 06:00:00, 51.43, 276.55, 11, 0.00, 0.00, 0.00, 3, 2773, 1139,2
2016-08-01, 06:00:00, 44.42, 251.67, 11, 0.00, 0.00, 0.00, 5, 1279, 12,2
2016-08-01, 06:00:00, 22.03, 104.55, 12, 0.00, 0.00, 0.00, 2, 2297, 2316,2
2016-08-01, 06:00:00, -29.66, 29.72, 12, 0.00, 0.00, 0.00, 1, 333, 2862,2
2016-08-01, 06:00:00, -16.77, 293.97, 12, 0.00, 0.00, 0.00, 5, 2646, 2164,2
